,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-C5 All-POST-3,"10000","100.00","100.00","100.00","200.12","101","12598","726580","36806","-372545","292.17","158","32653","5080497","291993","-2807","894.22","8356","83.56","83.56","83.56","167.22","78","8942","614950","27182","-327572","303.97","124","25518","5044128","256487","-2612","1005.13","2477","29.64","24.77","24.77","49.57","18005","30862","614950","40662","841","131.75","1035","43147","4261319","228988","-2612","530.71","1162","13.91","11.62","11.62","23.25","33984","45932","614950","50642","-692","110.25","22786","114875","3869622","386710","2529","336.63","57","4.91","0.68","0.57","1.14","149","286","1675","481","-692","168.43","23500","251051","3568919","716221","2833","285.29","495","42.60","5.92","4.95","9.91","35369","49567","525192","50805","1721","102.50","23072","118235","3869622","407663","2529","344.79","566","48.71","6.77","5.66","11.33","39288","50903","614950","51029","1797","100.25","21251","69623","2836194","186174","2535","267.40","2205","26.39","22.05","22.05","44.13","557","14759","525192","34475","-327572","233.59","206","42261","5044128","320329","-2612","757.98","1138","13.62","11.38","11.38","22.77","19469","33092","525192","41649","924","125.86","2213","60955","4261319","306536","-2612","502.89"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-D2 GFP+BFP-POST-1,"10000","100.00","100.00","100.00","178.44","-10","-20230","471188","82424","-435185","-407.43","2380","840319","5102417","1641376","-386","195.33","8307","83.07","83.07","83.07","148.23","-10","-11362","471188","61173","-394370","-538.41","1748","659258","5084837","1460040","-386","221.47","987","11.88","9.87","9.87","17.61","17604","30246","471188","39083","841","129.21","78365","615651","4416127","1053201","-79","171.07","2891","34.80","28.91","28.91","51.59","48","8854","256815","24912","-6577","281.35","89852","690468","4191467","1077633","2531","156.07","16","0.55","0.19","0.16","0.29","997","1057","1685","384","378","36.31","1876077","1996683","4182252","997076","739624","49.94","20","0.69","0.24","0.20","0.36","5489","13976","91142","22232","1800","159.07","2179937","2363039","3893492","1019851","875991","43.16","710","24.56","8.55","7.10","12.67","23875","35705","256815","39414","1724","110.39","135331","617347","4183655","958252","2531","155.22","227","2.73","2.27","2.27","4.05","-288583","-260043","130761","130287","-394370","-50.10","4992125","4561237","5084837","1097520","739624","24.06","41","0.49","0.41","0.41","0.73","2953","15144","130761","29345","940","193.77","2248301","2317356","4266795","1066185","260635","46.01"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-D3 BFP+RFP-POST-1,"10000","100.00","100.00","100.00","200.92","40","6285","1084505","26162","-866","416.28","105","880","229145","7039","-2073","800.07","8384","83.84","83.84","83.84","168.45","28","4293","667397","16794","-712","391.23","83","665","229145","6174","-954","929.09","1647","19.64","16.47","16.47","33.09","10923","21799","667397","32475","844","148.98","139","3043","229145","13672","-882","449.29","146","1.74","1.46","1.46","2.93","30182","38415","186900","33960","722","88.40","22162","32791","229145","33812","2552","103.11","1","0.68","0.01","0.01","0.02","722","722","722","0","722","0.00","4438","4438","4438","0","4438","0.00","40","27.40","0.48","0.40","0.80","35842","45264","186900","40664","3216","89.84","22702","33899","163524","36291","2552","107.06","105","71.92","1.25","1.05","2.11","28271","36165","154984","30839","2227","85.27","22167","32640","229145","33043","2902","101.24","874","10.42","8.74","8.74","17.56","202","10967","223690","25354","-472","231.19","94","1664","163524","10433","-954","626.85","386","4.60","3.86","3.86","7.76","17573","31172","667397","48235","902","154.74","170","4345","229145","19267","-882","443.47"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-D4 GFP+RFP-POST-1,"10000","100.00","100.00","100.00","134.70","-90","-56150","27375","115748","-466460","-206.14","276975","1673081","5105135","2047065","-1151","122.35","7640","76.40","76.40","76.40","102.91","-69","-33168","27375","84789","-393891","-255.63","64052","1335586","5088293","1882340","-27","140.94","71","0.93","0.71","0.71","0.96","1636","2780","27375","4437","839","159.59","1950901","2019880","4109533","1198212","469","59.32","4284","56.07","42.84","42.84","57.70","-39","-58","22027","546","-2998","-945.93","150218","831211","4192021","1177849","2529","141.70","1548","36.13","20.26","15.48","20.85","-34","-57","1684","402","-2998","-701.82","393223","976986","4186693","1183434","2537","121.13","28","0.65","0.37","0.28","0.38","2352","2885","6561","1344","1743","46.59","2679257","2423329","4034285","1011402","465883","41.74","3","0.07","0.04","0.03","0.04","3369","9094","22027","11225","1887","123.43","1280666","1208609","2326093","1155199","19068","95.58","2347","30.72","23.47","23.47","31.61","-97","-62907","18539","124506","-393891","-197.92","880573","1875363","5088293","2003571","190","106.84","62","0.81","0.62","0.62","0.84","1676","2659","27375","4017","902","151.06","2036191","2062787","4109533","1159796","469","56.22"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-D5 All-POST-4,"10000","100.00","100.00","100.00","257.67","46","5293","739720","28620","-373905","540.66","239","157334","5075705","624940","-3618","397.21","8608","86.08","86.08","86.08","221.80","39","4305","739720","22819","-367330","530.10","205","130174","5041548","556810","-3618","427.74","1581","18.37","15.81","15.81","40.74","13958","26772","739720","39275","840","146.70","354","250830","4847297","687489","-3618","274.09","1418","16.47","14.18","14.18","36.54","225","8273","739720","28360","-1567","342.80","215088","602267","4188253","875115","2533","145.30","349","24.61","4.05","3.49","8.99","147","230","1644","453","-1567","197.14","273109","742184","4094493","1008451","2638","135.88","188","13.26","2.18","1.88","4.84","13053","29076","739720","59867","1754","205.90","388492","810244","4092028","1007361","2612","124.33","208","14.67","2.42","2.08","5.36","21190","29203","253242","33331","1767","114.14","342091","688775","4147567","886579","2649","128.72","1793","20.83","17.93","17.93","46.20","149","6652","739720","35486","-367330","533.49","391","289390","5041548","825289","-3618","285.18","597","6.94","5.97","5.97","15.38","12940","26312","739720","44810","909","170.30","607","354498","4298459","813544","-3618","229.49"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-E2 GFP+BFP-POST-2,"10000","100.00","100.00","100.00","212.04","79","11134","833482","37091","-379733","333.12","74","37709","5060935","371863","-823","986.14","8561","85.61","85.61","85.61","181.53","65","7964","309566","26738","-379733","335.72","57","29677","5058942","327498","-823","1103.55","2171","25.36","21.71","21.71","46.03","19660","33047","309566","40570","841","122.77","82","22803","4468315","237733","-649","1042.55","155","1.81","1.55","1.55","3.29","323","14785","199760","27737","-1260","187.59","206762","753461","4175640","1118735","2534","148.48","1","0.65","0.01","0.01","0.02","1273","1273","1273","0","1273","0.00","1235272","1235272","1235272","0","1235272","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64","41.29","0.75","0.64","1.36","24572","35740","199760","33475","1805","93.66","43256","636359","4175640","1042508","2534","163.82","2","0.02","0.02","0.02","0.04","-370515","-370515","-361298","13036","-379733","-3.52","5033732","5033732","5058942","35652","5008522","0.71","3","0.04","0.03","0.03","0.06","13087","9999","15637","7664","1273","76.65","1235272","957818","1261877","503781","376305","52.60"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-E3 BFP+RFP-POST-2,"10000","100.00","100.00","100.00","216.97","15","2165","324479","12439","-1890","574.41","58","397","187695","4856","-9371","1224.34","8411","84.11","84.11","84.11","182.49","8","1414","324479","9248","-771","654.11","43","284","187695","4126","-1071","1453.18","618","7.35","6.18","6.18","13.41","8531","19169","324479","28720","842","149.82","106","3050","187695","14528","-593","476.28","61","0.73","0.61","0.61","1.32","23970","39716","189060","40901","-302","102.99","16767","32185","187695","36575","2732","113.64","4","6.56","0.05","0.04","0.09","-24","29","468","325","-302","1107.21","34472","37784","70921","24789","11271","65.61","12","19.67","0.14","0.12","0.26","51419","53404","112612","31058","9696","58.16","37532","55436","187695","57800","3274","104.27","43","70.49","0.51","0.43","0.93","23970","41368","189060","43141","2586","104.29","15214","26206","135377","27808","2732","106.11","539","6.41","5.39","5.39","11.69","60","4756","141608","17069","-771","358.89","67","1606","187695","12183","-1071","758.44","115","1.37","1.15","1.15","2.50","14033","26749","141608","31230","899","116.75","126","7634","187695","26585","-593","348.26"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-E4 GFP+RFP-POST-2,"10000","100.00","100.00","100.00","199.28","-34","-16510","23119","66389","-451584","-402.13","1155","589867","5116899","1404195","-411","238.05","8170","81.70","81.70","81.70","162.81","-30","-9561","23119","46998","-396666","-491.54","883","441631","5106616","1216256","-411","275.40","45","0.55","0.45","0.45","0.90","1517","2572","23119","3544","844","137.83","1177077","1412559","4016111","1232727","0","87.27","2160","26.44","21.60","21.60","43.05","-37","-71","6522","426","-2573","-603.33","85398","668019","4194056","1056910","2530","158.22","755","34.95","9.24","7.55","15.05","-34","-27","1689","390","-2283","-1454.00","107692","528368","4194056","909998","2563","172.23","12","0.56","0.15","0.12","0.24","2123","2834","6522","1426","1827","50.31","2203973","2151464","3389683","865737","409203","40.24","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1335","16.34","13.35","13.35","26.60","-48","-32818","23119","94353","-396666","-287.50","48206","946588","5106616","1693874","-197","178.95","38","0.47","0.38","0.38","0.76","1394","2319","23119","3634","901","156.69","1632840","1586082","4016111","1218526","408","76.83"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-E5 All-POST-5,"10000","100.00","100.00","100.00","193.46","264","16620","1814147","52357","-366319","315.03","372","282443","5121342","843658","-2609","298.70","7949","79.49","79.49","79.49","153.78","145","11027","537075","32891","-365890","298.27","288","217658","5069291","717719","-2609","329.75","2996","37.69","29.96","29.96","57.96","18181","31958","537075","40225","844","125.87","534","351489","4607846","800454","-2609","227.73","1757","22.10","17.57","17.57","33.99","2419","18439","309275","33936","-1396","184.05","325730","737755","4192687","930195","2536","126.08","254","14.46","3.20","2.54","4.91","332","462","1702","504","-854","109.09","312947","748639","4192687","974322","2724","130.15","484","27.55","6.09","4.84","9.36","20412","34958","309275","42556","1718","121.74","473788","960729","4044422","1077142","2552","112.12","457","26.01","5.75","4.57","8.84","18407","33299","252092","37654","1705","113.08","511855","834670","3851677","887342","2536","106.31","1933","24.32","19.33","19.33","37.40","2847","16515","398700","42871","-365890","259.59","775","421437","5069291","968376","-2609","229.78","1206","15.17","12.06","12.06","23.33","18933","32549","537075","42828","901","131.58","1484","472512","4607846","909005","-2609","192.38"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-F2 GFP-1,"10000","100.00","100.00","100.00","260.62","-25","-13604","20185","59406","-454494","-436.66","854","529409","5112004","1327200","-454","250.69","8637","86.37","86.37","86.37","225.10","-23","-8311","20185","43167","-390947","-519.38","740","429759","5074064","1183606","-454","275.41","24","0.28","0.24","0.24","0.63","1814","3478","20185","4331","840","124.53","2398610","1832336","3291322","1220555","29","66.61","1955","22.64","19.55","19.55","50.95","-33","-89","6637","417","-2182","-466.36","237073","831257","4181678","1120169","2531","134.76","18","0.92","0.21","0.18","0.47","752","755","1697","614","-504","81.32","2649212","2428630","4004434","971945","548332","40.02","8","0.41","0.09","0.08","0.21","3216","3562","6637","1601","1931","44.96","2425479","2202999","3025487","766097","1134870","34.78","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","127","1.47","1.27","1.27","3.31","-291678","-257050","6637","132495","-390947","-51.54","4992671","4514047","5074064","1097916","548332","24.32","17","0.20","0.17","0.17","0.44","1697","2350","6637","1594","901","67.80","2745818","2370645","3291322","748124","1117224","31.56"
