,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A
20250326-iVector-Plate_001-Group_001-H6 BFP+RFP-4,"10000","100.00","100.00","100.00","314.56","60","4224","270778","12163","-533","287.98","28","125","377337","4163","-6036","3329.99","9081","90.81","90.81","90.81","285.66","59","4037","238349","10768","-378","266.76","27","126","377337","4364","-6036","3470.89","2741","30.18","27.41","27.41","86.22","8047","13325","238349","16142","555","121.14","-16","309","377337","7937","-6036","2564.93","32","0.35","0.32","0.32","1.01","21194","31555","96498","26568","2067","84.20","9650","30606","377337","67809","2265","221.56","26","81.25","0.29","0.26","0.82","21194","32176","89873","24961","4449","77.58","9650","20130","114522","26201","2265","130.16","2499","27.52","24.99","24.99","78.61","9370","14390","238349","16391","-311","113.91","-27","150","114522","3348","-6036","2228.09","25","0.28","0.25","0.25","0.79","22451","33052","89873","25064","4449","75.83","10432","20845","114522","26482","2465","127.04","2385","26.26","23.85","23.85","75.02","10072","15047","238349","16493","817","109.61","-29","156","114522","3427","-6036","2192.09","25","0.28","0.25","0.25","0.79","23405","33805","96498","26776","4449","79.21","13438","38447","377337","75142","3466","195.44"
20250326-iVector-Plate_001-Group_001-H7 Triple-8,"10000","100.00","100.00","100.00","349.65","4","374","87135","7944","-318885","2123.34","140","80260","5045962","450938","-812","561.84","9181","91.81","91.81","91.81","321.01","4","367","87135","7537","-318885","2053.57","145","79481","5045962","447119","-812","562.55","652","7.10","6.52","6.52","22.80","5886","9041","87135","10097","551","111.68","440704","890288","4468019","1055330","-812","118.54","852","9.28","8.52","8.52","29.79","2880","6564","63810","8784","-659","133.81","205453","654157","4143734","929686","2086","142.12","321","37.68","3.50","3.21","11.22","10911","13615","63810","10162","1342","74.64","1212785","1465473","4143734","1052984","18921","71.85","458","4.99","4.58","4.58","16.01","8497","5797","87135","33135","-318885","571.57","1027107","1490143","5045962","1368253","-812","91.82","452","4.92","4.52","4.52","15.80","8552","5664","87135","33220","-318885","586.54","1039355","1515800","5045962","1364350","12231","90.01","409","4.45","4.09","4.09","14.30","9980","12542","87135","11020","935","87.87","942971","1320943","4468019","1119318","-812","84.74","625","6.81","6.25","6.25","21.85","6219","9258","87135","9904","632","106.98","496118","932849","4468019","1061732","3962","113.82"
20250326-iVector-Plate_001-Group_001-H8 pV52-4,"10000","100.00","100.00","100.00","160.31","58","9320","588718","30041","-430","322.33","375","122394","5002668","407106","-540","332.62","8961","89.61","89.61","89.61","143.65","57","8936","364504","28638","-430","320.50","372","121307","4744056","396145","-540","326.56","2649","29.56","26.49","26.49","42.47","10998","30185","364504","46193","550","153.03","139618","409189","4744056","642885","-449","157.11","2916","32.54","29.16","29.16","46.75","8041","26611","364504","42635","-271","160.22","103744","360332","4061715","588266","2073","163.26","2095","71.84","23.38","20.95","33.58","18617","36623","364504","46623","1248","127.31","240364","496782","4061715","644621","4488","129.76","2400","26.78","24.00","24.00","38.47","14415","33127","364504","47560","185","143.57","185025","450049","4744056","662028","-449","147.10","2398","26.76","23.98","23.98","38.44","14482","33155","364504","47562","185","143.46","185577","450870","4744056","661989","2830","146.82","2319","25.88","23.19","23.19","37.18","15371","34296","364504","47977","821","139.89","205326","465751","4744056","668162","-449","143.46","2560","28.57","25.60","25.60","41.04","12054","31159","364504","46669","621","149.78","158623","423281","4744056","649432","3259","153.43"
20250326-iVector-Plate_001-Group_001-H9 pV59-4,"10000","100.00","100.00","100.00","232.50","135","43510","2644202","132663","-2566","304.90","402","179935","4895862","558731","-467","310.52","9034","90.34","90.34","90.34","210.04","137","38625","1259951","112769","-334","291.96","405","167568","4786976","505763","-467","301.83","3014","33.36","30.14","30.14","70.08","37945","115602","1259951","170966","554","147.89","160789","501606","4786976","774194","-467","154.34","2829","31.32","28.29","28.29","65.78","44552","117517","931477","162536","277","138.31","185501","509282","4173627","731488","2088","143.63","2324","82.15","25.73","23.24","54.03","75988","142367","931477","169391","1304","118.98","317717","617936","4173627","764993","2088","123.80","2495","27.62","24.95","24.95","58.01","67585","138851","1259951","179274","888","129.11","278185","604053","4786976","814122","-467","134.78","2489","27.55","24.89","24.89","57.87","67955","139216","1259951","179362","888","128.84","280078","606491","4786976","814041","2450","134.22","2487","27.53","24.87","24.87","57.82","68194","139554","1259951","179274","904","128.46","281092","606897","4786976","814247","-467","134.17","2713","30.03","27.13","27.13","63.08","53577","127945","1259951","175849","631","137.44","222398","557165","4786976","796857","3239","143.02"
20250326-iVector-Plate_001-Group_001-H10 pV44-4,"10000","100.00","100.00","100.00","146.43","52","8489","1101854","48454","-110025","570.78","389","144481","5038342","587946","-566","406.94","8958","89.58","89.58","89.58","131.18","51","5721","1023676","33590","-110025","587.11","381","135470","5038342","557846","-566","411.78","1933","21.58","19.33","19.33","28.31","4945","26592","1023676","68271","552","256.73","146240","600637","5038342","1027261","-160","171.03","2243","25.04","22.43","22.43","32.85","2542","18258","581748","48583","-131","266.10","83274","411159","4149964","737896","2082","179.47","17","0.76","0.19","0.17","0.25","23651","39800","186978","46537","4959","116.93","1498665","1696545","4014233","1307124","70379","77.05","32","0.36","0.32","0.32","0.47","14800","18488","186978","50364","-110025","272.41","1898801","2459576","5038342","1890907","70379","76.88","31","0.35","0.31","0.31","0.45","15485","18672","186978","51186","-110025","274.13","1915532","2522876","5038342","1887384","70379","74.81","26","0.29","0.26","0.26","0.38","20345","33107","186978","39440","2643","119.13","1501257","2051238","5038342","1685328","70379","82.16","1692","18.89","16.92","16.92","24.78","6558","29929","1023676","72312","625","241.61","203043","685451","5038342","1071407","3279","156.31"
20250326-iVector-Plate_001-Group_001-H11 empty-4,"10000","100.00","100.00","100.00","305.34","-7","98","671278","6842","-1226","7003.40","57","1083","3747189","43116","-713","3980.71","9335","93.35","93.35","93.35","285.04","-7","105","671278","7081","-743","6727.72","58","1131","3747189","44617","-713","3946.37","26","0.28","0.26","0.26","0.79","6500","40496","671278","130442","749","322.11","87138","369735","3747189","775476","-13","209.74","59","0.63","0.59","0.59","1.80","232","17846","671278","88005","-79","493.14","13713","168113","3747189","540200","2510","321.33","15","25.42","0.16","0.15","0.46","14892","68685","671278","168428","4494","245.22","204922","614495","3747189","959798","60285","156.19","18","0.19","0.18","0.18","0.55","13121","57430","671278","155025","283","269.94","193007","514584","3747189","900843","4541","175.06","18","0.19","0.18","0.18","0.55","13121","57430","671278","155025","283","269.94","193007","514584","3747189","900843","4541","175.06","16","0.17","0.16","0.16","0.49","14103","64543","671278","163558","2421","253.41","199488","578064","3747189","938634","31589","162.38","25","0.27","0.25","0.25","0.76","8034","41940","671278","132920","749","316.93","108221","384525","3747189","787715","8960","204.85"
20250326-iVector-Plate_001-Group_001-H12 pV47-4,"10000","100.00","100.00","100.00","286.78","76","11708","431540","33880","-361","289.37","432","175500","4938000","522404","-545","297.67","9122","91.22","91.22","91.22","261.60","77","11370","431540","32375","-319","284.75","436","172572","4928675","501128","-462","290.39","2803","30.73","28.03","28.03","80.38","16701","36894","431540","49705","555","134.72","229653","559908","4928675","775031","-1","138.42","3035","33.27","30.35","30.35","87.04","12951","32538","306429","45419","-204","139.59","178597","491989","4061866","698218","2097","141.92","2275","74.96","24.94","22.75","65.24","24845","42996","306429","48113","1251","111.90","361995","651476","4061866","740781","2687","113.71","2504","27.45","25.04","25.04","71.81","21291","41050","431540","51009","133","124.26","305022","624295","4928675","795734","561","127.46","2517","27.59","25.17","25.17","72.18","21220","40905","431540","50920","133","124.48","303232","622575","4928675","794088","2508","127.55","2472","27.10","24.72","24.72","70.89","22154","41663","431540","51079","811","122.60","318013","633653","4928675","796989","748","125.78","2722","29.84","27.22","27.22","78.06","18177","37943","431540","50053","624","131.91","251724","577028","4928675","780099","3515","135.19"
20250326-iVector-Plate_001-Group_001-A5 GFP+BFP-1,"10000","100.00","100.00","100.00","432.53","24","-561","46684","14147","-314099","-2521.60","143","152996","5076118","657305","-599","429.62","9391","93.91","93.91","93.91","406.19","24","-517","46684","13731","-314099","-2656.22","142","150274","5076118","651513","-599","433.55","930","9.90","9.30","9.30","40.22","3360","5351","46684","5762","553","107.68","589188","1022325","4373500","1103704","-245","107.96","1353","14.41","13.53","13.53","58.52","1511","3610","46684","5159","-245","142.91","213636","682070","4178063","972292","2079","142.55","40","2.96","0.43","0.40","1.73","9932","10437","25256","6233","1321","59.72","2402273","2459714","4150489","1019243","305211","41.44","111","1.18","1.11","1.11","4.80","3762","-58561","46684","101346","-314099","-173.06","3457491","3107956","5076118","1684229","-233","54.19","108","1.15","1.08","1.08","4.67","4062","-60173","46684","102284","-314099","-169.98","3476158","3194287","5076118","1624136","233855","50.85","64","0.68","0.64","0.64","2.77","8552","10503","46684","8044","885","76.59","2235005","2200332","4150489","1149912","233855","52.26","893","9.51","8.93","8.93","38.62","3582","5553","46684","5797","623","104.40","627558","1065520","4373500","1113983","3467","104.55"
20250326-iVector-Plate_001-Group_001-A6 GFP+RFP-1,"10000","100.00","100.00","100.00","329.92","-3","-6716","5947","36506","-353920","-543.56","948","536923","5133176","1222086","-2692","227.61","9283","92.83","92.83","92.83","306.27","-3","-6200","5947","34299","-347634","-553.22","924","524351","5082167","1204623","-2692","229.74","99","1.07","0.99","0.99","3.27","829","1191","5947","917","559","76.95","1940570","2105607","4172216","1241367","9911","58.96","3384","36.45","33.84","33.84","111.65","3","-7","5947","371","-2754","-5702.59","314649","806520","4194128","1047848","2073","129.92","23","0.68","0.25","0.23","0.76","1939","2431","5947","1212","1252","49.87","3115477","3011575","4066571","898450","1129757","29.83","2133","22.98","21.33","21.33","70.37","-91","-26885","5947","67495","-347634","-251.05","1670085","2166142","5082167","1649064","486","76.13","2134","22.99","21.34","21.34","70.41","-91","-26874","5947","67481","-347634","-251.10","1671590","2168584","5082167","1647024","2421","75.95","48","0.52","0.48","0.48","1.58","1238","1678","5947","1109","819","66.11","3031566","2644351","4172216","1105670","390692","41.81","85","0.92","0.85","0.85","2.80","942","1292","5947","953","624","73.78","2085603","2192191","4172216","1252867","60330","57.15"
20250326-iVector-Plate_001-Group_001-A7 Triple-1,"10000","100.00","100.00","100.00","399.20","26","-121","63254","12278","-267200","-10123.78","175","150503","5084618","637393","-556","423.51","9406","94.06","94.06","94.06","375.49","26","-83","63254","11903","-267200","-14301.63","177","147409","5084618","626734","-517","425.17","1048","11.14","10.48","10.48","41.84","4378","6995","63254","7152","557","102.25","516804","927894","4510025","1022809","29","110.23","1498","15.93","14.98","14.98","59.80","1977","4856","63254","6709","-406","138.14","212742","626943","4187064","898995","2078","143.39","425","28.37","4.52","4.25","16.97","9540","11166","63254","7832","1360","70.14","1386525","1646509","4187064","1035740","82067","62.91","635","6.75","6.35","6.35","25.35","6485","-3617","63254","44640","-267200","-1234.34","1351103","1857641","5084618","1501325","19082","80.82","633","6.73","6.33","6.33","25.27","6485","-3652","63254","44705","-267200","-1224.03","1352188","1862715","5084618","1500937","19082","80.58","542","5.76","5.42","5.42","21.64","8122","9983","63254","7790","818","78.03","1151371","1488188","4510025","1109044","29418","74.52","1020","10.84","10.20","10.20","40.72","4587","7166","63254","7174","623","100.10","552509","951652","4510025","1026095","4915","107.82"
20250326-iVector-Plate_001-Group_001-A8 pV48-1,"10000","100.00","100.00","100.00","230.63","78","9307","482842","30288","-829","325.43","322","137721","4999500","453421","-1497","329.23","9190","91.90","91.90","91.90","211.95","77","8359","338506","27171","-829","325.07","312","129185","4894211","421318","-575","326.14","2716","29.55","27.16","27.16","62.64","10259","28194","338506","44046","553","156.23","152927","435844","4894211","683543","-306","156.83","3040","33.08","30.40","30.40","70.11","7209","24090","324404","39313","-272","163.19","108622","372570","4098970","608595","2077","163.35","1882","61.91","20.48","18.82","43.40","21460","37703","324404","44787","1288","118.79","330052","585208","4098970","692073","2976","118.26","2156","23.46","21.56","21.56","49.72","17180","34928","338506","47142","-495","134.97","259934","541925","4894211","730603","-6","134.82","2151","23.41","21.51","21.51","49.61","17297","35018","338506","47165","160","134.69","260911","543471","4894211","730859","2976","134.48","2097","22.82","20.97","20.97","48.36","18221","35877","338506","47458","820","132.28","275798","556643","4894211","735507","209","132.13","2608","28.38","26.08","26.08","60.15","11454","29304","338506","44600","631","152.20","168796","453743","4894211","691758","3705","152.46"
20250326-iVector-Plate_001-Group_001-A9 pV58-1,"10000","100.00","100.00","100.00","182.08","183","51635","3996096","166582","-1482","322.61","416","201859","4915970","648670","-1187","321.35","9104","91.04","91.04","91.04","165.77","170","40994","1548811","129616","-1482","316.18","387","180543","4903643","586409","-1187","324.80","3382","37.15","33.82","33.82","61.58","23357","110202","1548811","193933","551","175.98","90376","485507","4903643","881948","-1187","181.65","2972","32.64","29.72","29.72","54.12","31570","114103","1240059","180269","4","157.99","123981","502949","4183076","824043","2082","163.84","2231","75.07","24.51","22.31","40.62","65237","150103","1240059","195061","1358","129.95","266586","664553","4183076","894297","2508","134.57","2456","26.98","24.56","24.56","44.72","56410","150425","1548811","214181","-541","142.38","230920","665771","4903643","975907","-1187","146.58","2447","26.88","24.47","24.47","44.56","56827","150909","1548811","214418","4","142.08","234003","668416","4903643","976761","2508","146.13","2439","26.79","24.39","24.39","44.41","57317","151482","1548811","214559","850","141.64","235999","670502","4903643","977682","-1187","145.81","2859","31.40","28.59","28.59","52.06","38069","129750","1548811","204964","627","157.97","146189","574161","4903643","932379","3243","162.39"
20250326-iVector-Plate_001-Group_001-A10 pV63-1,"10000","100.00","100.00","100.00","338.41","31","5025","911049","35556","-606","707.61","66","25571","4814815","194833","-665","761.93","9360","93.60","93.60","93.60","316.75","32","4587","911049","33522","-606","730.89","63","24923","4814815","188714","-665","757.19","1002","10.71","10.02","10.02","33.91","7459","42637","911049","94253","551","221.06","34873","232165","4814815","533688","-159","229.87","941","10.05","9.41","9.41","31.84","8708","42635","667771","87114","183","204.32","42087","233230","3692479","493651","2083","211.66","315","33.48","3.37","3.15","10.66","48420","98928","667771","120415","5762","121.72","294640","575319","3692479","704466","34022","122.45","402","4.29","4.02","4.02","13.60","35785","90666","911049","128624","1101","141.87","211354","518977","4814815","741014","13951","142.78","399","4.26","3.99","3.99","13.50","36456","91223","911049","128943","1101","141.35","216048","522185","4814815","742856","15590","142.26","391","4.18","3.91","3.91","13.23","37307","91695","911049","128644","1101","140.30","217687","526012","4814815","743667","16310","141.38","859","9.18","8.59","8.59","29.07","10832","49285","911049","100253","624","203.41","55050","270638","4814815","567370","3238","209.64"
20250326-iVector-Plate_001-Group_001-A11 pV51-1,"10000","100.00","100.00","100.00","232.67","47","3091","445371","16413","-1088","530.95","117","39797","4902437","221233","-1988","555.90","9298","92.98","92.98","92.98","216.33","46","2787","445371","15607","-371","560.02","111","37901","4902437","213892","-603","564.34","1584","17.04","15.84","15.84","36.85","3878","16201","445371","34835","554","215.01","51477","221137","4902437","477690","-241","216.02","1820","19.57","18.20","18.20","42.35","2984","13173","258232","27879","7","211.63","38634","180534","3622031","387416","2118","214.59","955","52.47","10.27","9.55","22.22","10264","23744","258232","35261","1250","148.50","142283","328608","3622031","489590","3038","148.99","1171","12.59","11.71","11.71","27.25","6976","21277","445371","39272","-308","184.57","96859","293195","4902437","537345","272","183.27","1162","12.50","11.62","11.62","27.04","7058","21431","445371","39384","123","183.77","97631","295376","4902437","538847","3038","182.43","1101","11.84","11.01","11.01","25.62","7871","22549","445371","40164","817","178.12","105644","310715","4902437","549504","272","176.85","1488","16.00","14.88","14.88","34.62","4465","17167","445371","35726","621","208.12","57184","235176","4902437","489554","3505","208.16"
20250326-iVector-Plate_001-Group_001-A12 pV50-1,"10000","100.00","100.00","100.00","312.11","28","1880","359586","11322","-664","602.33","36","5165","1333290","38960","-11835","754.29","9198","91.98","91.98","91.98","287.08","28","1754","359586","10904","-501","621.76","33","5169","1333290","39521","-662","764.55","968","10.52","9.68","9.68","30.21","6234","16483","359586","29798","552","180.79","12014","48909","1333290","112758","-482","230.55","665","7.23","6.65","6.65","20.76","11221","22759","359586","34108","392","149.87","28242","71046","1333290","130187","2088","183.24","328","49.32","3.57","3.28","10.24","25376","37368","359586","43155","1562","115.49","74129","126624","1333290","167453","11988","132.24","406","4.41","4.06","4.06","12.67","21490","32433","359586","40392","736","124.54","55396","107169","1333290","155890","3213","145.46","407","4.42","4.07","4.07","12.70","21456","32373","359586","40361","736","124.68","55257","107013","1333290","155728","3213","145.52","400","4.35","4.00","4.00","12.48","21615","32774","359586","40574","970","123.80","56115","108496","1333290","156671","3213","144.40","625","6.79","6.25","6.25","19.51","12088","23973","359586","34817","644","145.23","32686","75419","1333290","133103","3356","176.49"
